INPUT        ALGORITHM     TYPE       TIME(ms)
----------------------------------------------------
1           recursive     int          0.00
1           recursive     int          0.00
1           recursive     int          0.00
1           recursive     int          0.00
1           recursive     int          1.00
1           recursive     long         0.00
1           recursive     long         1.00
1           recursive     long         1.00
1           recursive     long         0.00
1           recursive     long         1.00
1           iterative     int          0.00
1           iterative     int          0.00
1           iterative     int          1.00
1           iterative     int          1.00
1           iterative     int          1.00
1           iterative     long         1.00
1           iterative     long         1.00
1           iterative     long         0.00
1           iterative     long         0.00
1           iterative     long         1.00
5           recursive     int          0.00
5           recursive     int          0.00
5           recursive     int          1.00
5           recursive     int          0.00
5           recursive     int          0.00
5           recursive     long         0.00
5           recursive     long         0.00
5           recursive     long         1.00
5           recursive     long         0.00
5           recursive     long         1.00
5           iterative     int          0.00
5           iterative     int          1.00
5           iterative     int          0.00
5           iterative     int          0.00
5           iterative     int          1.00
5           iterative     long         0.00
5           iterative     long         1.00
5           iterative     long         0.00
5           iterative     long         1.00
5           iterative     long         1.00
10          recursive     int          1.00
10          recursive     int          0.00
10          recursive     int          1.00
10          recursive     int          0.00
10          recursive     int          0.00
10          recursive     long         0.00
10          recursive     long         0.00
10          recursive     long         1.00
10          recursive     long         1.00
10          recursive     long         0.00
10          iterative     int          0.00
10          iterative     int          0.00
10          iterative     int          0.00
10          iterative     int          0.00
10          iterative     int          1.00
INPUT        ALGORITHM     TYPE       TIME(ms)
----------------------------------------------------
10          iterative     long         0.00
10          iterative     long         0.00
10          iterative     long         1.00
10          iterative     long         1.00
10          iterative     long         0.00
15          recursive     int          1.00
15          recursive     int          0.00
15          recursive     int          1.00
15          recursive     int          1.00
15          recursive     int          0.00
15          recursive     long         1.00
15          recursive     long         0.00
15          recursive     long         0.00
15          recursive     long         0.00
15          recursive     long         1.00
15          iterative     int          0.00
15          iterative     int          1.00
15          iterative     int          0.00
15          iterative     int          0.00
15          iterative     int          0.00
15          iterative     long         0.00
15          iterative     long         1.00
15          iterative     long         1.00
15          iterative     long         1.00
15          iterative     long         1.00
20          recursive     int          2.00
20          recursive     int          2.00
20          recursive     int          2.00
20          recursive     int          1.00
20          recursive     int          2.00
20          recursive     long         1.00
20          recursive     long         2.00
20          recursive     long         2.00
20          recursive     long         2.00
20          recursive     long         2.00
20          iterative     int          1.00
20          iterative     int          1.00
20          iterative     int          0.00
20          iterative     int          1.00
20          iterative     int          1.00
20          iterative     long         1.00
20          iterative     long         0.00
20          iterative     long         0.00
20          iterative     long         0.00
20          iterative     long         0.00
25          recursive     int          3.00
25          recursive     int          3.00
25          recursive     int          3.00
25          recursive     int          3.00
25          recursive     int          3.00
25          recursive     long         3.00
25          recursive     long         3.00
25          recursive     long         3.00
25          recursive     long         3.00
25          recursive     long         3.00
INPUT        ALGORITHM     TYPE       TIME(ms)
----------------------------------------------------
25          iterative     int          1.00
25          iterative     int          0.00
25          iterative     int          1.00
25          iterative     int          1.00
25          iterative     int          1.00
25          iterative     long         1.00
25          iterative     long         0.00
25          iterative     long         0.00
25          iterative     long         1.00
25          iterative     long         0.00
30          recursive     int          5.00
30          recursive     int          6.00
30          recursive     int          6.00
30          recursive     int          7.00
30          recursive     int          6.00
30          recursive     long         6.00
30          recursive     long         7.00
30          recursive     long         7.00
30          recursive     long         7.00
30          recursive     long         6.00
30          iterative     int          0.00
30          iterative     int          0.00
30          iterative     int          0.00
30          iterative     int          1.00
30          iterative     int          1.00
30          iterative     long         1.00
30          iterative     long         0.00
30          iterative     long         1.00
30          iterative     long         0.00
30          iterative     long         0.00
35          recursive     int         34.00
35          recursive     int         34.00
35          recursive     int         35.00
35          recursive     int         33.00
35          recursive     int         34.00
35          recursive     long        33.00
35          recursive     long        32.00
35          recursive     long        31.00
35          recursive     long        31.00
35          recursive     long        31.00
35          iterative     int          1.00
35          iterative     int          0.00
35          iterative     int          0.00
35          iterative     int          0.00
35          iterative     int          0.00
35          iterative     long         1.00
35          iterative     long         1.00
35          iterative     long         0.00
35          iterative     long         1.00
35          iterative     long         1.00
40          recursive     int        334.00
40          recursive     int        339.00
40          recursive     int        340.00
40          recursive     int        333.00
40          recursive     int        335.00
INPUT        ALGORITHM     TYPE       TIME(ms)
----------------------------------------------------
40          recursive     long       316.00
40          recursive     long       314.00
40          recursive     long       325.00
40          recursive     long       318.00
40          recursive     long       313.00
40          iterative     int          0.00
40          iterative     int          0.00
40          iterative     int          1.00
40          iterative     int          1.00
40          iterative     int          0.00
40          iterative     long         0.00
40          iterative     long         0.00
40          iterative     long         1.00
40          iterative     long         0.00
40          iterative     long         1.00
45          recursive     int       4110.00
45          recursive     int       3872.00
45          recursive     int       3906.00
45          recursive     int       3887.00
45          recursive     int       3790.00
45          recursive     long      3543.00
45          recursive     long      3507.00
45          recursive     long      3937.00
45          recursive     long      3825.00
45          recursive     long      3554.00
45          iterative     int          0.00
45          iterative     int          0.00
45          iterative     int          0.00
45          iterative     int          1.00
45          iterative     int          1.00
45          iterative     long         0.00
45          iterative     long         1.00
45          iterative     long         1.00
45          iterative     long         0.00
45          iterative     long         1.00
